Month,Banks_Live,Txn_Volume_Mn,Txn_Value_Cr,Avg_Txn_Value_INR,MoM_Growth_Volume_%,MoM_Growth_Value_%
2016-04-01,21,0.0,0.0,,,
2016-05-01,21,0.0,0.0,,,
2016-06-01,21,0.0,0.0,,,
2016-07-01,21,0.09,0.38,42.22222222222222,,
2016-08-01,21,0.09,3.09,343.3333333333333,0.0,713.1578947368421
2016-09-01,25,0.09,32.64,3626.6666666666665,0.0,956.3106796116506
2016-10-01,26,0.1,48.57,4857.0,11.111111111111116,48.80514705882353
2016-11-01,30,0.29,100.46,3464.1379310344823,189.99999999999997,106.8354951616224
2016-12-01,35,1.99,707.93,3557.437185929648,586.2068965517242,604.6884332072467
2017-01-01,36,4.46,1696.22,3803.183856502242,124.1206030150754,139.60278558614556
2017-02-01,44,4.38,1937.71,4423.995433789954,-1.7937219730941756,14.23695039558548
2017-03-01,44,6.37,2425.14,3807.12715855573,45.43378995433791,25.154950947252157
2017-04-01,48,7.2,2271.24,3154.4999999999995,13.02982731554161,-6.346025384101539
2017-05-01,49,9.36,2797.07,2988.3226495726494,29.999999999999982,23.151670453144547
2017-06-01,52,10.35,3098.36,2993.584541062802,10.576923076923084,10.771628883081233
2017-07-01,53,11.63,3411.35,2933.2330180567496,12.367149758454122,10.101795788739842
2017-08-01,55,16.8,4156.62,2474.178571428572,44.453998280309534,21.846776202969508
2017-09-01,57,30.98,5325.81,1719.11233053583,84.4047619047619,28.128383157469305
2017-10-01,60,76.96,7057.78,917.0712058212058,148.41833440929628,32.52031146435941
2017-11-01,61,105.02,9669.33,920.713197486193,36.46049896049897,37.00242852568372
2017-12-01,67,145.64,13174.24,904.5756660258172,38.678346981527326,36.2477027880939
2018-01-01,71,151.83,15571.2,1025.568069551472,4.250205987366118,18.19429431982416
2018-02-01,86,171.4,19126.2,1115.8809801633606,12.889415793980108,22.830610357583225
2018-03-01,91,178.05,24172.6,1357.6298792474024,3.87981330221705,26.38474971505054
2018-04-01,97,190.08,27021.85,1421.6040614478115,6.75652906486941,11.787106062235765
2018-05-01,101,189.48,33288.51,1756.8350221659275,-0.3156565656565746,23.19108425218852
2018-06-01,110,246.37,40834.03,1657.4270406299468,30.024276968545504,22.667040369184438
2018-07-01,114,273.75,51843.14,1893.8133333333333,11.11336607541502,26.96062573299769
2018-08-01,114,312.02,54212.26,1737.4610601884494,13.97990867579908,4.569784932008369
2018-09-01,122,405.87,59835.36,1474.249390198832,30.07820011537723,10.372377023204704
2018-10-01,128,482.36,74978.27,1554.4048013931504,18.84593589080248,25.307627463092054
2018-11-01,128,524.94,82232.21,1566.506838876824,8.827431793681084,9.674723089769888
2018-12-01,129,620.17,102594.82,1654.3015624748057,18.14112089000645,24.76232853282188
2019-01-01,134,672.75,109932.43,1634.0755109624672,8.478320460518907,7.152027753447965
2019-02-01,139,674.19,106737.12,1583.1904952609798,0.2140468227424863,-2.906612725653379
2019-03-01,142,799.54,133460.72,1669.218800810466,18.59268158827629,25.03683816838977
2019-04-01,144,781.79,142034.39,1816.7844306015688,-2.220026515246265,6.424114900623956
2019-05-01,143,733.54,152449.29,2078.268260762876,-6.171734097391878,7.33266077321133
2019-06-01,142,754.54,146566.35,1942.4596442865848,2.862829566213154,-3.858948769128412
2019-07-01,143,822.29,146386.64,1780.2313052572697,8.978980570943884,-0.1226134102404796
2019-08-01,141,918.35,154504.89,1682.4183590134485,11.682009996473264,5.545758820613678
2019-09-01,141,955.02,161456.56,1690.609201901531,3.993030979474055,4.499320377497429
2019-10-01,141,1148.36,191359.94,1666.3758751610992,20.244602207283613,18.521006517170942
2019-11-01,143,1218.77,189229.09,1552.6234646405803,6.131352537531787,-1.113529822386028
2019-12-01,143,1308.4,202520.76,1547.8505044328951,7.354135727003452,7.024115583919999
2020-01-01,144,1305.02,216242.97,1657.0088581017917,-0.2583307856924621,6.775705364724094
2020-02-01,146,1325.69,222516.95,1678.4991212123498,1.5838837718962218,2.9013567469962087
2020-03-01,148,1246.84,206462.31,1655.8845561579674,-5.947846027351799,-7.215018900807335
2020-04-01,153,999.57,151140.66,1512.0567844172997,-19.831734625132324,-26.795035859087303
2020-05-01,155,1234.5,218391.6,1769.0692588092345,23.503106335724368,44.495597677024826
2020-06-01,155,1336.93,261835.0,1958.4795015445836,8.297286350749289,19.892431760195905
2020-07-01,164,1497.36,290537.86,1940.3340546027675,11.99988032282915,10.96219374797105
2020-08-01,168,1618.83,298307.61,1842.735864791238,8.112277608591123,2.674264207769683
2020-09-01,174,1800.14,329027.66,1827.789283055762,11.200064243929276,10.298111402521704
2020-10-01,189,2071.62,386106.74,1863.791332387214,15.081049251724842,17.347805956496188
2020-11-01,200,2210.23,390999.15,1769.0428145487122,6.690898910031762,1.2671133376226609
2020-12-01,207,2234.16,416176.21,1862.78605829484,1.082692751433112,6.439159778224579
2021-01-01,207,2302.73,431181.89,1872.481315655765,3.069162459268826,3.6056073459845184
2021-02-01,213,2292.9,425062.76,1853.8216232718391,-0.4268846108749113,-1.4191528313028168
2021-03-01,216,2731.68,504886.44,1848.2634862062907,19.136464738976837,18.779269207210717
2021-04-01,220,2641.06,493663.68,1869.1876746457865,-3.317372459438872,-2.222828563191359
2021-05-01,224,2539.57,490638.65,1931.975295030261,-3.842775249331698,-0.612771431756931
